Code,Title,Question Body,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Level,Difficulty Level,,answer 1 value,answer 1 score,answer 2 value,answer 2 score,answer 3 value,answer 3 score,answer 4 value,answer 4 score,,Parameter 1 type,Parameter 1 asset,Parameter 1 count,Parameter 2 type,Parameter 2 asset,Parameter 2 count,Parameter 3 type,Parameter 3 asset,Parameter 3 count,Parameter 4 type,Parameter 4 asset,Parameter 4 count,,Related micro-concepts,Related micro-concepts,Related micro-concepts
q_sub_q1035,Subtraction,ˆ´©ˆ´¬‰ÛÒˆ´¤ˆ´_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1036,Subtraction,ˆ´©ˆ´»-ˆ´¤ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1037,Subtraction,ˆ´©ˆ´»‰ÛÒˆ´¤ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1038,Subtraction,ˆ´©ˆ´Ç-ˆ´¤ˆ´_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1039,Subtraction,ˆ´©ˆ´Ç‰ÛÒˆ´¤ˆ´_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1040,Subtraction,ˆ´©ˆ´Â-ˆ´¤ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1041,Subtraction,ˆ´©ˆ´Â‰ÛÒˆ´¤ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1042,Subtraction,ˆ´»ˆ´¤-ˆ´¤ˆ´©,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1043,Subtraction,ˆ´»ˆ´¤-ˆ´¤ˆ´Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1044,Subtraction,ˆ´»ˆ´¤‰ÛÒˆ´¤ˆ´©,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1045,Subtraction,ˆ´»ˆ´¤‰ÛÒˆ´¤ˆ´Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1046,Subtraction,ˆ´»ˆ´©-ˆ´¬ˆ´»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1047,Subtraction,ˆ´»ˆ´©-ˆ´¬ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1048,Subtraction,ˆ´»ˆ´©‰ÛÒˆ´¬ˆ´»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1049,Subtraction,ˆ´»ˆ´©‰ÛÒˆ´¬ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1050,Subtraction,ˆ´»ˆ´Ç-ˆ´¤ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1051,Subtraction,ˆ´»ˆ´Ç-ˆ´¬ˆ´Â,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1052,Subtraction,ˆ´»ˆ´Ç‰ÛÒˆ´¤ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1053,Subtraction,ˆ´»ˆ´Ç‰ÛÒˆ´¬ˆ´Â,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1054,Subtraction,ˆ´»ˆ´Â-ˆ´¤ˆ´_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1055,Subtraction,ˆ´»ˆ´Â-ˆ´¬ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1056,Subtraction,ˆ´»ˆ´Â‰ÛÒˆ´¤ˆ´_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1057,Subtraction,ˆ´»ˆ´_-ˆ´¬ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1058,Subtraction,ˆ´»ˆ´_-ˆ´¬ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1059,Subtraction,ˆ´»ˆ´_‰ÛÒˆ´¬ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1060,Subtraction,ˆ´»ˆ´_‰ÛÒˆ´¬ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1061,Subtraction,ˆ´Çˆ´¤-ˆ´©ˆ´Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1062,Subtraction,ˆ´Çˆ´¤‰ÛÒˆ´©ˆ´Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1063,Subtraction,ˆ´Çˆ´¬-ˆ´¤ˆ´»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1064,Subtraction,ˆ´Çˆ´¬‰ÛÒˆ´¤ˆ´»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1065,Subtraction,ˆ´Çˆ´Â-ˆ´©ˆ´_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1066,Subtraction,ˆ´Çˆ´Â‰ÛÒˆ´©ˆ´_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1067,Subtraction,ˆ´Âˆ´©-ˆ´©ˆ´»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1068,Subtraction,ˆ´Âˆ´©-ˆ´©ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1069,Subtraction,ˆ´Âˆ´©-ˆ´»ˆ´»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1070,Subtraction,ˆ´Âˆ´©‰ÛÒˆ´©ˆ´»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1071,Subtraction,ˆ´Âˆ´©‰ÛÒˆ´©ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1072,Subtraction,ˆ´Âˆ´©‰ÛÒˆ´»ˆ´»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1073,Subtraction,ˆ´Âˆ´»-ˆ´»ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1074,Subtraction,ˆ´Âˆ´»‰ÛÒˆ´»ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1075,Subtraction,ˆ´Âˆ´Â-ˆ´»ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1076,Subtraction,ˆ´Âˆ´Â‰ÛÒˆ´»ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1077,Subtraction,ˆ´Âˆ´¨-ˆ´»ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1078,Subtraction,ˆ´Âˆ´¨‰ÛÒˆ´»ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1079,Subtraction,ˆ´_ˆ´¤-ˆ´©ˆ´Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1080,Subtraction,ˆ´_ˆ´¤‰ÛÒˆ´©ˆ´Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1081,Subtraction,ˆ´_ˆ´©-ˆ´©ˆ´Â,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1082,Subtraction,ˆ´_ˆ´©‰ÛÒˆ´©ˆ´Â,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1083,Subtraction,ˆ´_ˆ´»-ˆ´Çˆ´Â,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1084,Subtraction,ˆ´_ˆ´»-ˆ´Çˆ´_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1085,Subtraction,ˆ´_ˆ´»‰ÛÒˆ´Çˆ´Â,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1086,Subtraction,ˆ´_ˆ´»‰ÛÒˆ´Çˆ´_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1087,Subtraction,ˆ´¨ˆ´»-ˆ´©ˆ´Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1088,Subtraction,ˆ´¨ˆ´»-ˆ´»ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1089,Subtraction,ˆ´¨ˆ´»‰ÛÒˆ´©ˆ´Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1090,Subtraction,ˆ´¨ˆ´»‰ÛÒˆ´»ˆ´ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1091,Subtraction,ˆ´øˆ´¬-ˆ´»ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1092,Subtraction,ˆ´øˆ´¬-ˆ´_ˆ´Â,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1093,Subtraction,ˆ´øˆ´¬‰ÛÒˆ´»ˆ´¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1094,Subtraction,ˆ´øˆ´¬‰ÛÒˆ´_ˆ´Â,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1095,Subtraction,ˆ¤©ˆ¤¤-ˆ¤¤ˆ¤©,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1096,Subtraction,ˆ¤©ˆ¤¤-ˆ¤¤ˆ¤¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1097,Subtraction,ˆ¤©ˆ¤¬-ˆ¤¤ˆ¤_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1098,Subtraction,ˆ¤©ˆ¤»-ˆ¤¤ˆ¤ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1099,Subtraction,ˆ¤»ˆ¤¤-ˆ¤¤ˆ¤©,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1100,Subtraction,ˆ¤»ˆ¤¤-ˆ¤¤ˆ¤Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1101,Subtraction,ˆ¤»ˆ¤©-ˆ¤¬ˆ¤ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1102,Subtraction,ˆ¤»ˆ¤Ç-ˆ¤¤ˆ¤_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1103,Subtraction,ˆ¤»ˆ¤Ç-ˆ¤¤ˆ¤¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1104,Subtraction,ˆ¤»ˆ¤Ç-ˆ¤¬ˆ¤_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1105,Subtraction,ˆ¤»ˆ¤Â-ˆ¤¤ˆ¤_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1106,Subtraction,ˆ¤»ˆ¤Â-ˆ¤¬ˆ¤ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1107,Subtraction,ˆ¤»ˆ¤_-ˆ¤¬ˆ¤¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1108,Subtraction,ˆ¤»ˆ¤_-ˆ¤¬ˆ¤ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1109,Subtraction,ˆ¤Çˆ¤¤-ˆ¤©ˆ¤Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1110,Subtraction,ˆ¤Çˆ¤¬-ˆ¤¤ˆ¤»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1111,Subtraction,ˆ¤Çˆ¤©-ˆ¤¬ˆ¤»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1112,Subtraction,ˆ¤Çˆ¤Â-ˆ¤©ˆ¤_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1113,Subtraction,ˆ¤Âˆ¤©-ˆ¤¬ˆ¤_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1114,Subtraction,ˆ¤Âˆ¤©-ˆ¤©ˆ¤ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1115,Subtraction,ˆ¤Âˆ¤©-ˆ¤»ˆ¤»,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1116,Subtraction,ˆ¤Âˆ¤»-ˆ¤»ˆ¤¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1117,Subtraction,ˆ¤Âˆ¤Â-ˆ¤»ˆ¤¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1118,Subtraction,ˆ¤Âˆ¤¨-ˆ¤»ˆ¤ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1119,Subtraction,ˆ¤_ˆ¤¤-ˆ¤©ˆ¤Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1120,Subtraction,ˆ¤_ˆ¤©-ˆ¤©ˆ¤Â,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1121,Subtraction,ˆ¤_ˆ¤»-ˆ¤Çˆ¤_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1122,Subtraction,ˆ¤¨ˆ¤»-ˆ¤©ˆ¤Ç,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1123,Subtraction,ˆ¤¨ˆ¤»-ˆ¤»ˆ¤ø,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1124,Subtraction,ˆ¤¨ˆ¤»-ˆ¤Çˆ¤_,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1125,Subtraction,ˆ¤øˆ¤¬-ˆ¤»ˆ¤¨,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1126,Subtraction,ˆ¤øˆ¤¬-ˆ¤_ˆ¤Â,1,1,No,,2,,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1127,Subtraction,ˆÇ©ˆÇ¤-ˆÇ¤ˆÇ©,1,1,No,,2,,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1128,Subtraction,ˆÇ©ˆÇ¤-ˆÇ¤ˆÇ¨,1,1,No,,2,,,13,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
