Code,Title,Question Body,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Level,Difficulty Level,Options 1 type,Options 1 asset,Options 1 score,Options 2 type,Options 2 asset,Options 2 score,Options 3 type,Options 3 asset,Options 3 score,Options 4 type,Options 4 asset,Options 4 score,Related micro-concepts,Related micro-concepts,Related micro-concepts
q_4_p_2_telugu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_bengali,Read the paragraph, ,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_bengali,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_bengali,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_bengali,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_bengali,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_bengali,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_bengali,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_bengali,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_gujarati,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_gujarati,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_gujarati,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_gujarati,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_gujarati,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_gujarati,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_gujarati,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_gujarati,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_malayalam,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_malayalam,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_malayalam,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_malayalam,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_malayalam,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_malayalam,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_malayalam,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_malayalam,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_oriya,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_oriya,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_oriya,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_oriya,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_oriya,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_oriya,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_oriya,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_oriya,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_1_urdu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_p_2_urdu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_1_urdu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_p_2_urdu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_1_urdu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_p_2_urdu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_1_urdu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_p_2_urdu,Read the paragraph,,,1,no,no,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_w_q1100,Read the word,ant,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1101,Read the word,baby,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1102,Read the word,bad,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1103,Read the word,ball,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1104,Read the word,bold,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1105,Read the word,book,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1106,Read the word,both,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1107,Read the word,bus,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1108,Read the word,cat,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1109,Read the word,clap,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1110,Read the word,cold,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1111,Read the word,crow,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1112,Read the word,cup,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1113,Read the word,dark,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1114,Read the word,day,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1115,Read the word,dog,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1116,Read the word,doll,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1117,Read the word,fan,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1118,Read the word,few,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1119,Read the word,foot,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1120,Read the word,girl,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1121,Read the word,gold,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1122,Read the word,hand,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1123,Read the word,hat,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1124,Read the word,hot,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1125,Read the word,key,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1126,Read the word,king,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1127,Read the word,like,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1128,Read the word,moon,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1129,Read the word,net,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1130,Read the word,old,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1131,Read the word,out,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1132,Read the word,ring,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1133,Read the word,rope,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1134,Read the word,sing,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1135,Read the word,star,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1136,Read the word,step,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1137,Read the word,sun,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1138,Read the word,wish,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1139,Read the word,ø_˜Ê˜_ø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1140,Read the word,øÂø_ø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1141,Read the word,øÂø_™‹,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1142,Read the word,øÂ˜_ø_ø_—ë,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1143,Read the word,øÂ˜_—ë˜ï—ëø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1144,Read the word,øÈ—ëø±,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1145,Read the word,øå˜_™š™_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1146,Read the word,ø_™ƒ™‹—,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1147,Read the word,ø¬ø±˜¿™šøÇ,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1148,Read the word,ø¬™šøÇ—ë,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1149,Read the word,ø¿ø±—ëø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1150,Read the word,ø¿™‹ø_ø_—,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1151,Read the word,ø¿™Ê,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1152,Read the word,ø¿™šø±,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1153,Read the word,ø¿™šø_øÈ,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1154,Read the word,ø_™šø±øå,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1155,Read the word,øÇø_™ƒ,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1156,Read the word,øÇ—ëø±,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1157,Read the word,øµ™šø±øÈ,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1158,Read the word,ø‡™šø‡ø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1159,Read the word,ø_™‰™‹,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1160,Read the word,ø_™šø±øÈ,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1161,Read the word,ø_ø_ø±,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1162,Read the word,™‰™‹™ƒ,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1163,Read the word,™‹ø_™‹,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1164,Read the word,™Ê—ë™‹ø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1165,Read the word,™š™‰øÈ,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1166,Read the word,™_™ƒø_™_ø±,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1167,Read the word,™_ø_™Ê,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1168,Read the word,™_ø_™Ê—ë,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1169,Read the word,™_øÈ™Ê˜¿,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1170,Read the word,™_˜_™‹,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1171,Read the word,˜Ê™š—ø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1172,Read the word,˜©ø¢ø_ø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1173,Read the word,˜©øÈø_øÂ,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1174,Read the word,˜©™_˜ïø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1175,Read the word,˜©˜_™‹™š™Êø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1176,Read the word,˜¿™‹ø_ø_,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1177,Read the word,—ø_øÈ˜_—ë,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1178,Read the word,ö_Êö_„,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1179,Read the word,ö_Êö_Áö_Ÿö__,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1180,Read the word,ö_Šö_‰ö__ö«óö_Á,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1181,Read the word,ö_´ö__ö_´ö_çö«ó,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1182,Read the word,ö_´ö__ö_„ö__,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1183,Read the word,ö_´ö_Ëö_Áö_£,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1184,Read the word,ö_´ö_Ëö__ö__,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1185,Read the word,ö_´ö«ö__,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1186,Read the word,ö_´ö«‰ö_çö__ö__,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1187,Read the word,ö_´ö«ˆö__ö«ˆ,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1188,Read the word,ö_´ö«šö_Áö«ó,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1189,Read the word,ö_´ö«ëö_Â,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
q_w_q1190,Read the word,ö__ö_çö«‰,1,1,no,no,1,,,,,,,,,,,,,,LO36 - Decoding & Fluency - Recognising Sight Words,LO7 - Decoding & Fluency - Reading Regular Words,LO52 - Decoding & Fluency - Reading Exception Words
