identifier,rel:synonym,rel:hasAntonym,rel:hasHyponym,rel:hasMeronym,rel:hasHolonym,rel:hasHypernym,gloss,exampleSentences,pos,objectType
hi:S:00006106,"",,,,,hi:S:00003052, वह निश्चित या स्थिर किया हुआ मूल्य जिस पर कोई चीज़ बिकती है,"आजकल आलू का भाव बहुत बढ़ गया है ।",Noun,Synset
hi:S:00006107,"hi:W:000061070,",,,,,hi:S:00006948, वह बोली जो भोजपुर क्षेत्र में बोली जाती है,"वे दोनों भोजपुरी में बात कर रहे हैं ।",Noun,Synset
hi:S:00006108,"hi:W:000061080,hi:W:000061081,hi:W:000061082,hi:W:000061083,hi:W:000061084,hi:W:000061085,hi:W:000061088,",,,,,, दस और दो,"नाव में बारह लोग सवार हैं ।",Adjective,Synset
hi:S:00006109,"hi:W:000061090,hi:W:000061091,hi:W:000061092,hi:W:000061093,hi:W:000061094,hi:W:000061095,",,,,,hi:S:00000750, मुर्गी की जाति का एक जलपक्षी,"कुछ लोग मुर्गाबी का मांस बड़े चाव से खाते हैं ।",Noun,Synset
hi:S:00006110,"hi:W:000061100,hi:W:000061101,hi:W:000061102,hi:W:000061103,hi:W:000061104,hi:W:000061105,hi:W:000061106,",,,,,hi:S:00004354, वह जो कपड़े सीने का कार्य करता हो,"उसने एक अच्छे दर्ज़ी को अपने कपड़े सिलने के लिए दिया है ।",Noun,Synset
hi:S:00006111,"hi:W:000061113,hi:W:000061117,",,,,,hi:S:00002063, एक प्रकार का पक्षी जो पत्तों को ही विशेष प्रकार से सीकर अपना घोंसला बनाता है ,"मेरे बाग में दर्जी ने अपना घोंसला बना रखा है ।",Noun,Synset
hi:S:00006112,"hi:W:000061120,",,,,,hi:S:00000196, वह जिसका कोई निश्चित मत या सिद्धान्त न हो,"आजकल के अधिकाँश नेता बेपेंदी के लोटे हैं ।",Noun,Synset
hi:S:00006113,"hi:W:000061130,hi:W:000061131,",,,,,hi:S:00000984, वह जो दर्शन करता हो,"सावन में शिव मंदिरों में दर्शनार्थियों की भीड़ बढ़ जाती है ।",Noun,Synset
hi:S:00006114,"hi:W:000061140,hi:W:000061141,hi:W:000061142,hi:W:000061143,hi:W:000061144,hi:W:000061145,",,hi:S:00022096,,,hi:S:00006009, वह शास्त्र जिसमें विविध दर्शनों का विवेचन होता है,"हमारे गुरुजी दर्शन शास्त्र के अच्छे ज्ञाता हैं ।",Noun,Synset
hi:S:00006115,"hi:W:000061150,hi:W:000061151,hi:W:000061152,hi:W:000061153,",,,,,, प्रेम के भावों से भरा हुआ,"इस आशिक़ाना मौसम में उनकी ज़ुदाई सही नहीं जाती है ।",Adjective,Synset
hi:S:00006116,"hi:W:000061161,hi:W:000061162,hi:W:000061163,hi:W:000061164,hi:W:000061165,hi:W:000061166,hi:W:000061167,hi:W:000061168,hi:W:000061169,",,hi:S:00009313,,,hi:S:00001715, सेना का प्रधान और सबसे बड़ा अधिकारी,"मोहन एक कुशल सेनापति है ।",Noun,Synset
hi:S:00006117,"hi:W:000061170,hi:W:000061171,hi:W:000061172,hi:W:000061173,hi:W:000061174,hi:W:000061175,hi:W:000061176,hi:W:000061177,",,hi:S:00014436,,,hi:S:00000196, वह जो कुछ पारिश्रमिक लेकर लोगों को सौदा खरीदने या बेचने में सहायता देता हो,"यह गाड़ी हमने दलाल के माध्यम से खरीदी ।",Noun,Synset
hi:S:00006118,"hi:W:000061180,hi:W:000061181,hi:W:000061182,",,,,,hi:S:00000185, आश्विन शुक्लपक्ष की दशमी को मनाया जानेवाला एक हिंदू त्योहार,"पूर्वी भारत में दशहरे का त्योहार धूमधाम से मनाया जाता है ।",Noun,Synset
hi:S:00006119,"",,,,,hi:S:00000689, दलाल का काम,"वह दलाली करके काफी पैसा कमा लेता है ।",Noun,Synset
hi:S:00006120,"hi:W:000061200,hi:W:000061202,hi:W:000061203,hi:W:000061204,",,,hi:S:00006128,,hi:S:00002349, मँझोले कद का एक वृक्ष जिसमें छोटे सुगंधित फूल लगते हैं,"हरसिंगार के पुष्प खिलते ही ज़मीन पर गिर जाते हैं ।",Noun,Synset
hi:S:00006121,"hi:W:000061210,hi:W:000061211,hi:W:000061213,hi:W:000061214,",,,,,hi:S:00006311, फूलों का वह रंगीन पटल जिसके खिलने या छितराने से फूल का रूप बनता है,"बच्चे ने कमल की पंखुड़ियाँ नोच दी ।",Noun,Synset
hi:S:00006122,"",,hi:S:00008201,,,hi:S:00010729, किसी विशेष मत का समर्थन करने वाले लोगों का समूह,"आप किस दल से हैं ।",Noun,Synset
hi:S:00006123,"hi:W:000061230,",,,,,hi:S:00000196, दो या कई व्यक्तियों में झगड़ा करानेवाला ,"एक कुटने की बातों में आकर राम और श्याम लड़ बैठे ।",Noun,Synset
hi:S:00006124,"",,,,,, जो दरिद्र और पीड़ित हो,"सरकार को दलित समाज के विकास के लिए ठोस कदम उठाना चाहिए ।",Adjective,Synset
hi:S:00006125,"",,,,,hi:S:00004554, दुख, वेदना आदि के समय चिल्लाकर रोने की क्रिया,"उसका आर्तनाद सुनकर मैं किसी अनहोनी की आशंका से काँप उठा ।",Noun,Synset
hi:S:00006126,"hi:W:000061260,hi:W:000061261,hi:W:000061263,",,,,,hi:S:00001583, भयभीत करने के लिए जोर से किया जाने वाला शब्द,"भीम का हुंकार सुनकर कौरव डर जाते थे ।",Noun,Synset
hi:S:00006127,"hi:W:000061270,hi:W:000061271,hi:W:000061272,",,hi:S:00036896,,hi:S:00009316,hi:S:00000020, जोड़न के योग से जमाया हुआ दूध,"शास्त्रानुसार रात में दही खाना वर्जित है ।",Noun,Synset
hi:S:00006128,"",,,,,hi:S:00004422, एक सुगंधित सफ़ेद फूल जिसका डंठल नारंगी रंग का होता है,"छोटे-छोटे बच्चे पुष्पमाला बनाने के लिए हरसिंगार चुन रहे हैं ।",Noun,Synset
hi:S:00006129,"hi:W:000061290,hi:W:000061291,",,,,,, दम्पति या पति-पत्नी से सम्बंध रखनेवाला,"उनके सुखी जीवन का राज उनका दांपत्य प्रेम है ।",Adjective,Synset
hi:S:00006130,"hi:W:000061300,hi:W:000061301,hi:W:000061303,",,hi:S:00020706,,,hi:S:00003051, वह धन, वस्तु आदि जो पाँसे, जुए आदि खेलों के समय हार-जीत के लिए खिलाड़ी सामने रखते हैं,"युधिष्ठिर ने पाँसे के खेल में द्रौपदी को दाँव पर लगाया था ।",Noun,Synset
hi:S:00006131,"hi:W:000061310,",,hi:S:00013323,,,hi:S:00003152, कोई कार्य करने या खेल खेलने का वह अवसर जो सब खिलाड़ियों को बारी-बारी से मिलता है,"अब राम की पारी है ।",Noun,Synset
hi:S:00006132,"",,hi:S:00032544,,,hi:S:00001642, कुश्ती में विपक्षी को हराने या दबाने के लिए काम में लाई जानेवाली युक्ति,"उसने एक ही दाँव में मोटे पहलवान को चित्त कर दिया ।",Noun,Synset
hi:S:00006133,"hi:W:000061330,hi:W:000061331,hi:W:000061332,hi:W:000061333,hi:W:000061334,hi:W:000061335,",,,,,hi:S:00005294, दूसरों के जेब काटकर उनमें से रुपये-पैसे निकाल लेने वाला व्यक्ति,"लोगों ने एक जेबकतरे को पकड़कर बहुत पीटा ।",Noun,Synset
hi:S:00006134,"hi:W:000061340,hi:W:000061341,",,hi:S:00015403,,,hi:S:00000558, एक प्रकार का लोहे का गोल चूल्हा,"सीता दम-चूल्हे पर खाना बना रही है ।",Noun,Synset
hi:S:00006135,"hi:W:000061350,",,,,,hi:S:00002954, प्रसूता का उपचार और सेवा-सुश्रूषा करनेवाली स्त्री,"चिकित्सक ने प्रसूता की देख-रेख के लिए एक दाई को नियुक्त किया ।",Noun,Synset
hi:S:00006136,"hi:W:000061360,hi:W:000061361,hi:W:000061363,hi:W:000061364,hi:W:000061366,hi:W:000061368,",,hi:S:00015410,,,hi:S:00002954, दूसरे के बच्चे को अपना दूध पिलाने या उसकी देख-रेख करने वाली स्त्री,"माँ की मृत्यु के बाद श्याम एक धाय की गोद में पला-बढ़ा ।",Noun,Synset
hi:S:00006137,"hi:W:000061370,hi:W:000061371,hi:W:000061372,hi:W:000061373,hi:W:000061374,hi:W:000061375,",,,,,hi:S:00001070, ओठों के नीचे का गोलाई लिए हुए उभरा हुआ भाग,"उसकी ठोढ़ी पर कटे का निशान है ।",Noun,Synset
hi:S:00006138,"hi:W:000061381,hi:W:000061382,hi:W:000061383,hi:W:000061384,",,hi:S:00006667,,,hi:S:00001090, ठोढ़ी पर उगनेवाले बाल,"अधिकांश महात्मा लोग बड़ी-बड़ी दाढ़ी रखते हैं ।",Noun,Synset
hi:S:00006139,"hi:W:000061391,hi:W:000061392,hi:W:000061393,hi:W:000061394,",,,,,hi:S:00000772, एक चर्मरोग जिसमें बहुत खुजली होती है,"वह दाद से पीड़ित है ।",Noun,Synset
hi:S:00006140,"hi:W:000061401,hi:W:000061402,hi:W:000061403,hi:W:000061405,hi:W:000061406,hi:W:000061408,",,,,,hi:S:00000165, पिता के पिता,"मेरे दादाजी एक धर्मनिष्ठ व्यक्ति हैं ।",Noun,Synset
hi:S:00006141,"hi:W:000061413,",,hi:S:00015200,,,hi:S:00000923, वह वस्तु जो दान में किसी को दी जाए,"पंडितजी को दान के रूप में एक गाय और कुछ आभूषण मिले ।",Noun,Synset
hi:S:00006142,"hi:W:000061420,hi:W:000061422,hi:W:000061423,",,,,,hi:S:00001423, एक रोग जिसमें गुदेन्द्रिय में मस्से निकलते हैं ,"वह बवासीर का रोगी है ।",Noun,Synset
hi:S:00006143,"",,,,,hi:S:00004186, मिट्टी का घड़ा,"इस कुंभ में पीने के लिए स्वच्छ जल रखा है ।",Noun,Synset
hi:S:00006144,"",,hi:S:00006146,,,hi:S:00000923, कोई छोटी वस्तु विशेषकर गोलाकार,"बच्चा बड़े प्रेम से अनार के दाने खा रहा है ।",Noun,Synset
hi:S:00006145,"hi:W:000061450,hi:W:000061451,hi:W:000061452,hi:W:000061453,hi:W:000061454,",,hi:S:00000499,,,hi:S:00005050, छोटा फोड़ा,"उसके सारे शरीर पर फुंसियाँ निकल आयी हैं ।",Noun,Synset
hi:S:00006146,"hi:W:000061460,hi:W:000061461,",,,,,hi:S:00006144, माला का दाना,"इस माला का प्रत्येक मनका बहुमूल्य है ।",Noun,Synset
hi:S:00006147,"hi:W:000061470,hi:W:000061471,hi:W:000061472,hi:W:000061473,hi:W:000061474,hi:W:000061477,hi:W:000061478,hi:W:000061479,hi:W:0000614710,",,hi:S:00034283,,,hi:S:00007960, एक तरह का वात रोग जिसमें अर्द्धांग, अंग विशेष या संपूर्ण अंग क्रियाहीन हो जाते हैं,"वह लक़वे से पीड़ित है ।",Noun,Synset
hi:S:00006148,"hi:W:000061480,",,,,,hi:S:00010780, राजनीति में शत्रु-पक्ष के लोगों को धन द्वारा वश में करने की नीति,"उसने दामनीति द्वारा शत्रु पक्ष के कुछ सदस्यों को अपनी ओर मिला लिया ।",Noun,Synset
hi:S:00006149,"",,,,,, जो बहुत बढ़ गया हो और सहज में अच्छा न हो सकता हो,"दवा न कराने के कारण उसका रोग अब दारुण हो गया है ।",Adjective,Synset
hi:S:00006150,"",,,,,hi:S:00001901, छोटा घर,"शहरी कोलाहल से दूर इस पर्वत पर उसका घरौंदा है ।",Noun,Synset
hi:S:00006151,"hi:W:000061511,hi:W:000061512,",,hi:S:00018365,hi:S:00017175,,hi:S:00000020, रोटी, भात आदि के साथ खाने के लिए हल्दी, मसाले आदि के साथ पानी में उबाला या पकाया हुआ कोई दला हुआ दलहन,"माँ ने आज दाल, भात और आलू की सब्जी बनाई है ।",Noun,Synset
hi:S:00006152,"hi:W:000061520,hi:W:000061521,hi:W:000061523,",,,,,hi:S:00002023, वन में वृक्षों की रगड़ से आप-से-आप लगनेवाली आग,"दावानल से पूरा जंगल जल गया ।",Noun,Synset
hi:S:00006153,"hi:W:000061530,",,,,,hi:S:00000196, वाहन की साफ-सफाई और चालक की मदद के लिए वाहन पर रहनेवाला व्यक्ति,"खलासी सुबह-सुबह ट्रक की साफ-सफाई कर रहा है ।",Noun,Synset
hi:S:00006154,"hi:W:000061540,",,,hi:S:00001310,,hi:S:00001461, माल ढोनेवाली मोटर गाड़ी,"मजदूर ट्रक से माल उतार रहे हैं ।",Noun,Synset
hi:S:00006155,"hi:W:000061550,",,,,,hi:S:00000196, सत्याग्रह करनेवाला व्यक्ति,"सत्याग्रह में गाँधीजी का साथ देने के लिए बहुत सारे सत्याग्रही उपस्थित हो गए ।",Noun,Synset
hi:S:00006156,"hi:W:000061560,",,,,,hi:S:00003730, सेवा कराने के लिए मूल्य देकर किसी को खरीदने और बेचने की प्रथा,"मुगलकाल में दास प्रथा अपने चरम उत्कर्ष पर थी ।",Noun,Synset
hi:S:00006157,"hi:W:000061570,hi:W:000061571,hi:W:000061572,hi:W:000061573,hi:W:000061574,hi:W:000061576,hi:W:000061577,hi:W:000061578,hi:W:000061579,hi:W:0000615710,hi:W:0000615711,hi:W:0000615712,hi:W:0000615713,hi:W:0000615714,hi:W:0000615715,hi:W:0000615716,hi:W:0000615717,hi:W:0000615718,hi:W:0000615719,hi:W:0000615720,hi:W:0000615721,",hi:S:00001741,hi:S:00003782,,,hi:S:00002954, वह जो घरेलू काम-काज तथा सेवा करती हो,"आज-कल की काम-काजी महिलाएँ नौकरानियों पर अधिक निर्भर रहती हैं ।",Noun,Synset
hi:S:00006158,"hi:W:000061580,hi:W:000061581,hi:W:000061582,hi:W:000061583,hi:W:000061584,hi:W:000061585,",,,,,, आँखों से दृष्टिगत होना,"आकाश में तारे दिख रहे हैं । / अंधेरे के कारण मुझे रास्ता नहीं दिख रहा है ।",Verb,Synset
hi:S:00006159,"hi:W:000061590,hi:W:000061591,hi:W:000061592,",,,,,, किसी को यह बताना कि क्या ठीक है या क्या होना चाहिए,"गुरुजी बच्चों को इस काम के बारे में परामर्श दे रहे हैं ।",Verb,Synset
hi:S:00006160,"hi:W:000061600,hi:W:000061601,hi:W:000061602,hi:W:000061603,hi:W:000061604,",,,,,, आँखों से किसी व्यक्ति, पदार्थ, काम आदि के रूप-रंग और आकार-प्रकार या गुण आदि का ज्ञान प्राप्त कराना,"उसने हमें अपना नया घर दिखाया । / उसने रूस को एक तानाशाही के रूप में प्रस्तुत किया ।",Verb,Synset
hi:S:00006161,"hi:W:000061610,hi:W:000061611,",,,,,, केवल दूध पीकर रहनेवाला,"हमारे गाँव में एक पैहारी साधु पधारे हैं ।",Adjective,Synset
hi:S:00006162,"hi:W:000061620,hi:W:000061621,hi:W:000061622,hi:W:000061623,hi:W:000061624,",,,,,, यों ही या केवल कहा जानेवाला परन्तु सर्वमान्य नहीं,"वह एक तथाकथित साधु है ।",Adjective,Synset
hi:S:00006163,"hi:W:000061631,",,,,,, जिसमें जंगल हों,"कुछ आदिवासी जातियाँ जंगली स्थानों पर निवास करती हैं ।",Adjective,Synset
hi:S:00006164,"hi:W:000061641,hi:W:000061642,hi:W:000061643,",,,hi:S:00006218,,hi:S:00006781, मँझोले आकार का एक कँटीला वृक्ष जिसके फलों में कड़ी गुठली होती है,"उसके पैर में बेर के काँटे चुभ गये ।",Noun,Synset
hi:S:00006165,"hi:W:000061650,hi:W:000061651,",,hi:S:00006743,,,hi:S:00000183, परीक्षा लेने, परखने या जाँच करने का काम,"एक ज्योतिषी ने मेरी जन्मकुंडली का परीक्षण किया ।",Noun,Synset
hi:S:00006166,"hi:W:000061663,",,hi:S:00000841,,,hi:S:00013160, सप्ताह का कोई दिन,"सोमवार सप्ताह का प्रथम दिन है ।",Noun,Synset
hi:S:00006167,"hi:W:000061670,hi:W:000061671,hi:W:000061675,hi:W:000061676,hi:W:000061678,hi:W:000061679,hi:W:0000616710,hi:W:0000616711,hi:W:0000616712,hi:W:0000616713,hi:W:0000616714,hi:W:0000616715,hi:W:0000616716,hi:W:0000616724,hi:W:0000616725,hi:W:0000616726,hi:W:0000616727,",,hi:S:00008335,,,hi:S:00000923, सोचने समझने और निश्चय करने की वृत्ति या मानसिक शक्ति,"औरों की बुद्धि से राजा बनने की अपेक्षा अपनी बुद्धि से फ़कीर बनना ज़्यादा अच्छा है ।",Noun,Synset
hi:S:00006168,"hi:W:000061683,hi:W:000061684,hi:W:000061685,hi:W:000061686,",,,,,hi:S:00001070, कपाल के भीतर केंद्रीय तंत्रिकातंत्र का वह भाग जो एक बड़ा कोमल पिंड होता है तथा अग्रमस्तिष्क, मध्यमस्तिष्क एवं पश्चमस्तिष्क से मिलकर बना होता है,"मस्तिष्क की संरचना बहुत जटिल होती है ।",Noun,Synset
hi:S:00006169,"hi:W:000061690,",,,,,hi:S:00000269, मन की शक्ति,"लगातार जीतते रहने के कारण भारतीय दल का मनोबल ऊँचा है ।",Noun,Synset
hi:S:00006170,"hi:W:000061700,hi:W:000061702,hi:W:000061703,hi:W:000061704,",,,,,hi:S:00005774, एक प्रकार का कर्णाभूषण,"सीता सोने के पीपरपर्न पहने हुए थी ।",Noun,Synset
