Code,Title,,Leave these 3 columns blank,,,Template,Template ID,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Grade,Difficulty Level,Keywords,Options 1 asset,Options 1 answer,Options 2 asset,Options 2 answer,Options 3 asset,Options 3 answer,Options 4 asset,Options 4 answer,,,,,,
ek.n.ib.m.t.5.9,Pick the correct answer,5 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",40,No,45,Yes,14,No,50,No,5,26,10,31,5,36
ek.n.ib.m.t.5.8,Pick the correct answer,5 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",45,No,35,No,40,Yes,13,No,10,5,32,5,22,27
ek.n.ib.m.t.5.6,Pick the correct answer,5 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,No,35,No,25,No,30,Yes,24,14,19,10,5,5
ek.n.ib.m.t.5.4,Pick the correct answer,5 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",20,Yes,9,No,25,No,15,No,11,5,5,16,6,10
ek.n.ib.m.t.5.2,Pick the correct answer,5 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",5,No,10,Yes,7,No,15,No,5,2,10,3,5,8
ek.n.ib.m.t.6.4,Pick the correct answer,6 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",24,Yes,10,No,30,No,18,No,14,6,6,20,8,12
ek.n.ib.m.t.6.3,Pick the correct answer,6 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,18,Yes,9,No,24,No,6,3,12,9,6,15
ek.n.ib.m.t.6.2,Pick the correct answer,6 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,6,No,12,Yes,8,No,12,6,10,6,2,4
ek.n.ib.m.t.6.7,Pick the correct answer,6 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",13,No,48,No,36,No,42,Yes,35,23,29,12,6,6
ek.n.ib.m.t.6.8,Pick the correct answer,6 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,Yes,14,No,54,No,42,No,34,6,6,40,28,12
ek.n.ib.m.t.6.9,Pick the correct answer,6 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,No,54,Yes,15,No,60,No,6,33,12,39,6,45
ek.n.ib.m.t.6.10,Pick the correct answer,6 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",66,No,54,No,60,Yes,16,No,12,6,50,6,38,44
ek.n.ib.m.t.6.6,Pick the correct answer,6 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,42,No,30,No,36,Yes,30,18,24,12,6,6
ek.n.ib.m.t.6.5,Pick the correct answer,6 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",30,Yes,11,No,36,No,24,No,19,6,6,25,13,12
ek.n.ib.m.t.6.1,Pick the correct answer,6 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,6,Yes,7,No,12,No,5,6,11,1,6,5
ek.n.ib.m.t.7.10,Pick the correct answer,7 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",70,Yes,17,No,77,No,63,No,53,7,7,60,46,14
ek.n.ib.m.t.7.5,Pick the correct answer,7 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",28,No,35,Yes,12,No,42,No,7,16,14,23,7,30
ek.n.ib.m.t.7.1,Pick the correct answer,7 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,No,1,No,7,Yes,8,No,13,7,6,6,7,1
ek.n.ib.m.t.7.7,Pick the correct answer,7 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,No,56,No,42,No,49,Yes,42,28,35,14,7,7
ek.n.ib.m.t.7.2,Pick the correct answer,7 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,Yes,9,No,21,No,7,No,5,7,7,12,2,14
ek.n.ib.m.t.7.4,Pick the correct answer,7 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",21,No,28,Yes,11,No,35,No,7,10,14,17,7,24
ek.n.ib.m.t.7.8,Pick the correct answer,7 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",63,No,49,No,56,Yes,15,No,14,7,48,7,34,41
ek.n.ib.m.t.7.3,Pick the correct answer,7 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",10,No,28,No,14,No,21,Yes,18,4,11,14,7,7
ek.n.ib.m.t.7.6,Pick the correct answer,7 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",42,Yes,13,No,49,No,35,No,29,7,7,36,22,14
ek.n.ib.m.t.7.9,Pick the correct answer,7 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",56,No,63,Yes,16,No,70,No,7,40,14,47,7,54
ek.n.ib.m.t.8.1,Pick the correct answer,8 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,Yes,9,No,16,No,1,No,1,8,7,7,8,15
ek.n.ib.m.t.8.4,Pick the correct answer,8 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",24,No,32,Yes,12,No,40,No,8,12,16,20,8,28
ek.n.ib.m.t.8.7,Pick the correct answer,8 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",64,No,48,No,56,Yes,15,No,16,8,49,8,33,41
ek.n.ib.m.t.8.10,Pick the correct answer,8 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,88,No,72,No,80,Yes,70,54,62,16,8,8
ek.n.ib.m.t.8.2,Pick the correct answer,8 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",16,Yes,10,No,24,No,8,No,6,8,8,14,2,16
ek.n.ib.m.t.8.5,Pick the correct answer,8 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",32,No,40,Yes,13,No,48,No,8,19,16,27,8,35
ek.n.ib.m.t.8.8,Pick the correct answer,8 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",72,No,56,No,64,Yes,16,No,16,8,56,8,40,48
ek.n.ib.m.t.8.3,Pick the correct answer,8 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,No,32,No,16,No,24,Yes,21,5,13,16,8,8
ek.n.ib.m.t.8.6,Pick the correct answer,8 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,Yes,14,No,56,No,40,No,34,8,8,42,26,16
ek.n.ib.m.t.8.9,Pick the correct answer,8 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",64,No,72,Yes,17,No,80,No,8,47,16,55,8,63
ek.n.ib.m.t.9.7,Pick the correct answer,9 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",63,Yes,16,No,72,No,54,No,47,9,9,56,38,18
ek.n.ib.m.t.9.2,Pick the correct answer,9 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",9,No,18,Yes,11,No,27,No,9,2,18,7,9,16
ek.n.ib.m.t.9.5,Pick the correct answer,9 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",54,No,36,No,45,Yes,14,No,18,9,40,9,22,31
ek.n.ib.m.t.9.1,Pick the correct answer,9 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",10,No,18,No,1,No,9,Yes,8,9,1,17,9,8
ek.n.ib.m.t.9.8,Pick the correct answer,9 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",72,Yes,17,No,81,No,63,No,55,9,9,64,46,18
ek.n.ib.m.t.9.9,Pick the correct answer,9 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",72,No,81,Yes,18,No,90,No,9,54,18,63,9,72
ek.n.ib.m.t.9.10,Pick the correct answer,9 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",99,No,81,No,90,Yes,19,No,18,9,80,9,62,71
ek.n.ib.m.t.9.3,Pick the correct answer,9 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,36,No,18,No,27,Yes,24,6,15,18,9,9
ek.n.ib.m.t.9.4,Pick the correct answer,9 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",36,Yes,13,No,45,No,27,No,23,9,9,32,14,18
ek.n.ib.m.t.9.6,Pick the correct answer,9 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",45,No,54,Yes,15,No,63,No,9,30,18,39,9,48
ek.n.ib.m.t.10.5,Pick the correct answer,10 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,Yes,15,No,60,No,40,No,35,10,10,45,25,20
ek.n.ib.m.t.10.6,Pick the correct answer,10 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,No,60,Yes,16,No,70,No,10,34,20,44,10,54
ek.n.ib.m.t.10.4,Pick the correct answer,10 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,No,30,No,40,Yes,14,No,20,10,36,10,16,26
ek.n.ib.m.t.10.7,Pick the correct answer,10 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",17,No,80,No,60,No,70,Yes,63,43,53,20,10,10
ek.n.ib.m.t.10.8,Pick the correct answer,10 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",80,Yes,18,No,90,No,70,No,62,10,10,72,52,20
ek.n.ib.m.t.10.1,Pick the correct answer,10 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,10,Yes,11,No,20,No,9,10,19,1,10,9
ek.n.ib.m.t.10.3,Pick the correct answer,10 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",40,No,20,No,30,Yes,13,No,20,10,27,10,7,17
ek.n.ib.m.t.10.2,Pick the correct answer,10 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,30,No,10,No,20,Yes,18,2,8,20,10,10
ek.n.ib.m.t.10.10,Pick the correct answer,10 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",100,Yes,20,No,110,No,90,No,80,10,10,90,70,20
ek.n.ib.m.t.10.9,Pick the correct answer,10 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",80,No,90,Yes,19,No,100,No,10,61,20,71,10,81
ek.n.ib.m.t.11.1,Pick the correct answer,11 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,Yes,12,No,22,No,1,No,1,11,10,10,11,21
ek.n.ib.m.t.11.3,Pick the correct answer,11 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",22,No,33,Yes,14,No,44,No,11,8,22,19,11,30
ek.n.ib.m.t.11.5,Pick the correct answer,11 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",66,No,44,No,55,Yes,16,No,22,11,50,11,28,39
ek.n.ib.m.t.11.7,Pick the correct answer,11 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,88,No,66,No,77,Yes,70,48,59,22,11,11
ek.n.ib.m.t.11.10,Pick the correct answer,11 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",110,Yes,21,No,121,No,99,No,89,11,11,100,78,22
ek.n.ib.m.t.11.9,Pick the correct answer,11 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",88,No,99,Yes,20,No,110,No,11,68,22,79,11,90
ek.n.ib.m.t.11.8,Pick the correct answer,11 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",99,No,77,No,88,Yes,19,No,22,11,80,11,58,69
ek.n.ib.m.t.11.6,Pick the correct answer,11 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",17,No,77,No,55,No,66,Yes,60,38,49,22,11,11
ek.n.ib.m.t.11.4,Pick the correct answer,11 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",44,Yes,15,No,55,No,33,No,29,11,11,40,18,22
ek.n.ib.m.t.11.2,Pick the correct answer,11 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,No,22,Yes,13,No,33,No,11,2,22,9,11,20
ek.n.ib.m.t.12.7,Pick the correct answer,12 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",84,Yes,19,No,96,No,72,No,65,12,12,77,53,24
ek.n.ib.m.t.12.4,Pick the correct answer,12 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",36,No,48,Yes,16,No,60,No,12,20,24,32,12,44
ek.n.ib.m.t.12.3,Pick the correct answer,12 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,No,24,No,36,Yes,15,No,24,12,33,12,9,21
ek.n.ib.m.t.12.5,Pick the correct answer,12 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",17,No,72,No,48,No,60,Yes,55,31,43,24,12,12
ek.n.ib.m.t.12.9,Pick the correct answer,12 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",108,Yes,21,No,120,No,96,No,87,12,12,99,75,24
ek.n.ib.m.t.12.1,Pick the correct answer,12 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,12,Yes,13,No,24,No,11,12,23,1,12,11
