Code,Title,,Leave these 3 columns blank,,,Template,Template ID,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Grade,Difficulty Level,Keywords,Options 1 asset,Options 1 answer,Options 2 asset,Options 2 answer,Options 3 asset,Options 3 answer,Options 4 asset,Options 4 answer
ek.n.ib.m.t.6.7,Pick the correct answer,6 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",13,No,48,No,36,No,42,Yes
ek.n.ib.m.t.6.8,Pick the correct answer,6 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,Yes,14,No,54,No,42,No
ek.n.ib.m.t.6.9,Pick the correct answer,6 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,No,54,Yes,15,No,60,No
ek.n.ib.m.t.6.10,Pick the correct answer,6 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",66,No,54,No,60,Yes,16,No
ek.n.ib.m.t.6.6,Pick the correct answer,6 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,42,No,30,No,36,Yes
ek.n.ib.m.t.6.5,Pick the correct answer,6 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",30,Yes,11,No,36,No,24,No
ek.n.ib.m.t.6.1,Pick the correct answer,6 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,6,Yes,7,No,12,No
ek.n.ib.m.t.7.10,Pick the correct answer,7 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",70,Yes,17,No,77,No,63,No
ek.n.ib.m.t.7.5,Pick the correct answer,7 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",28,No,35,Yes,12,No,42,No
ek.n.ib.m.t.7.1,Pick the correct answer,7 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,No,1,No,7,Yes,8,No
ek.n.ib.m.t.7.7,Pick the correct answer,7 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,No,56,No,42,No,49,Yes
ek.n.ib.m.t.7.2,Pick the correct answer,7 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,Yes,9,No,21,No,7,No
ek.n.ib.m.t.7.4,Pick the correct answer,7 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",21,No,28,Yes,11,No,35,No
ek.n.ib.m.t.7.8,Pick the correct answer,7 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",63,No,49,No,56,Yes,15,No
ek.n.ib.m.t.7.3,Pick the correct answer,7 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",10,No,28,No,14,No,21,Yes
ek.n.ib.m.t.7.6,Pick the correct answer,7 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",42,Yes,13,No,49,No,35,No
ek.n.ib.m.t.7.9,Pick the correct answer,7 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",56,No,63,Yes,16,No,70,No
ek.n.ib.m.t.8.1,Pick the correct answer,8 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,Yes,9,No,16,No,1,No
ek.n.ib.m.t.8.4,Pick the correct answer,8 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",24,No,32,Yes,12,No,40,No
ek.n.ib.m.t.8.7,Pick the correct answer,8 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",64,No,48,No,56,Yes,15,No
ek.n.ib.m.t.8.10,Pick the correct answer,8 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,88,No,72,No,80,Yes
ek.n.ib.m.t.8.2,Pick the correct answer,8 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",16,Yes,10,No,24,No,8,No
ek.n.ib.m.t.8.5,Pick the correct answer,8 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",32,No,40,Yes,13,No,48,No
ek.n.ib.m.t.8.8,Pick the correct answer,8 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",72,No,56,No,64,Yes,16,No
ek.n.ib.m.t.8.3,Pick the correct answer,8 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,No,32,No,16,No,24,Yes
ek.n.ib.m.t.8.6,Pick the correct answer,8 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,Yes,14,No,56,No,40,No
ek.n.ib.m.t.8.9,Pick the correct answer,8 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",64,No,72,Yes,17,No,80,No
ek.n.ib.m.t.9.7,Pick the correct answer,9 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",63,Yes,16,No,72,No,54,No
ek.n.ib.m.t.9.2,Pick the correct answer,9 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",9,No,18,Yes,11,No,27,No
ek.n.ib.m.t.9.5,Pick the correct answer,9 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",54,No,36,No,45,Yes,14,No
ek.n.ib.m.t.9.1,Pick the correct answer,9 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",10,No,18,No,1,No,9,Yes
ek.n.ib.m.t.9.8,Pick the correct answer,9 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",72,Yes,17,No,81,No,63,No
ek.n.ib.m.t.9.9,Pick the correct answer,9 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",72,No,81,Yes,18,No,90,No
ek.n.ib.m.t.9.10,Pick the correct answer,9 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",99,No,81,No,90,Yes,19,No
ek.n.ib.m.t.9.3,Pick the correct answer,9 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,36,No,18,No,27,Yes
ek.n.ib.m.t.9.4,Pick the correct answer,9 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",36,Yes,13,No,45,No,27,No
ek.n.ib.m.t.9.6,Pick the correct answer,9 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",45,No,54,Yes,15,No,63,No
ek.n.ib.m.t.10.5,Pick the correct answer,10 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,Yes,15,No,60,No,40,No
ek.n.ib.m.t.10.6,Pick the correct answer,10 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,No,60,Yes,16,No,70,No
ek.n.ib.m.t.10.4,Pick the correct answer,10 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,No,30,No,40,Yes,14,No
ek.n.ib.m.t.10.7,Pick the correct answer,10 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",17,No,80,No,60,No,70,Yes
ek.n.ib.m.t.10.8,Pick the correct answer,10 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",80,Yes,18,No,90,No,70,No
ek.n.ib.m.t.10.1,Pick the correct answer,10 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,10,Yes,11,No,20,No
ek.n.ib.m.t.10.3,Pick the correct answer,10 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",40,No,20,No,30,Yes,13,No
ek.n.ib.m.t.10.2,Pick the correct answer,10 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,30,No,10,No,20,Yes
ek.n.ib.m.t.10.10,Pick the correct answer,10 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",100,Yes,20,No,110,No,90,No
ek.n.ib.m.t.10.9,Pick the correct answer,10 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",80,No,90,Yes,19,No,100,No
ek.n.ib.m.t.11.1,Pick the correct answer,11 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,Yes,12,No,22,No,1,No
ek.n.ib.m.t.11.3,Pick the correct answer,11 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",22,No,33,Yes,14,No,44,No
ek.n.ib.m.t.11.5,Pick the correct answer,11 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",66,No,44,No,55,Yes,16,No
ek.n.ib.m.t.11.7,Pick the correct answer,11 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,88,No,66,No,77,Yes
ek.n.ib.m.t.11.10,Pick the correct answer,11 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",110,Yes,21,No,121,No,99,No
ek.n.ib.m.t.11.9,Pick the correct answer,11 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",88,No,99,Yes,20,No,110,No
ek.n.ib.m.t.11.8,Pick the correct answer,11 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",99,No,77,No,88,Yes,19,No
ek.n.ib.m.t.11.6,Pick the correct answer,11 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",17,No,77,No,55,No,66,Yes
ek.n.ib.m.t.11.4,Pick the correct answer,11 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",44,Yes,15,No,55,No,33,No
ek.n.ib.m.t.11.2,Pick the correct answer,11 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,No,22,Yes,13,No,33,No
ek.n.ib.m.t.12.7,Pick the correct answer,12 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",84,Yes,19,No,96,No,72,No
ek.n.ib.m.t.12.4,Pick the correct answer,12 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",36,No,48,Yes,16,No,60,No
ek.n.ib.m.t.12.3,Pick the correct answer,12 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,No,24,No,36,Yes,15,No
ek.n.ib.m.t.12.5,Pick the correct answer,12 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",17,No,72,No,48,No,60,Yes
ek.n.ib.m.t.12.9,Pick the correct answer,12 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",108,Yes,21,No,120,No,96,No
ek.n.ib.m.t.12.1,Pick the correct answer,12 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,12,Yes,13,No,24,No
ek.n.ib.m.t.12.2,Pick the correct answer,12 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",36,No,12,No,24,Yes,14,No
ek.n.ib.m.t.12.8,Pick the correct answer,12 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",20,No,108,No,84,No,96,Yes
ek.n.ib.m.t.12.10,Pick the correct answer,12 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",120,Yes,22,No,132,No,108,No
ek.n.ib.m.t.12.6,Pick the correct answer,12 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",60,No,72,Yes,18,No,84,No
ek.n.ib.m.t.13.4,Pick the correct answer,13 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",52,Yes,17,No,65,No,39,No
ek.n.ib.m.t.13.3,Pick the correct answer,13 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",26,No,39,Yes,16,No,52,No
ek.n.ib.m.t.13.2,Pick the correct answer,13 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",39,No,13,No,26,Yes,15,No
ek.n.ib.m.t.13.7,Pick the correct answer,13 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",20,No,104,No,78,No,91,Yes
ek.n.ib.m.t.13.8,Pick the correct answer,13 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",104,Yes,21,No,117,No,91,No
ek.n.ib.m.t.13.9,Pick the correct answer,13 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",104,No,117,Yes,22,No,130,No
ek.n.ib.m.t.13.10,Pick the correct answer,13 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",143,No,117,No,130,Yes,23,No
