Code,Title,,,,,Template,Template ID,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Grade,Difficulty Level,Keywords,Options 1 asset,Options 1 answer,Options 2 asset,Options 2 answer,Options 3 asset,Options 3 answer,Options 4 asset,Options 4 answer
ek.n.ib.a.dsc.bp3.3,जोड़,89 + 6 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",149,No,815,No,95,Yes,83,No
ek.n.ib.a.dsc.bp3.4,जोड़,34 + 6 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",94,No,310,No,40,Yes,28,No
ek.n.ib.a.dsc.bp3.5,जोड़,21 + 9 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",111,No,210,No,30,Yes,12,No
ek.n.ib.a.dsc.bp4.1,जोड़,66 + 7 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",59,No,136,No,613,No,73,Yes
ek.n.ib.a.dsc.bp4.2,जोड़,47 + 9 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",38,No,137,No,416,No,56,Yes
ek.n.ib.a.dsc.bp4.3,जोड़,82 + 9 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",73,No,172,No,811,No,91,Yes
ek.n.ib.a.dsc.bp4.4,जोड़,43 + 7 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",36,No,113,No,410,No,50,Yes
ek.n.ib.a.dsc.bp4.5,जोड़,46 + 9 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",37,No,136,No,415,No,55,Yes
ek.n.ib.a.ddnc.bp1.1,जोड़,46 + 20 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",66,Yes,26,No,65,No,43,No
ek.n.ib.a.ddnc.bp1.2,जोड़,68 + 11 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",79,Yes,57,No,77,No,53,No
ek.n.ib.a.ddnc.bp1.3,जोड़,74 + 14 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",88,Yes,60,No,83,No,70,No
ek.n.ib.a.ddnc.bp1.4,जोड़,26 + 11 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",37,Yes,15,No,39,No,50,No
ek.n.ib.a.ddnc.bp1.5,जोड़,55 + 14 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",69,Yes,41,No,66,No,48,No
ek.n.ib.a.ddnc.bp2.1,जोड़,70 + 17 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",58,No,87,Yes,53,No,92,No
ek.n.ib.a.ddnc.bp2.2,जोड़,84 + 13 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",74,No,97,Yes,71,No,98,No
ek.n.ib.a.ddnc.bp2.3,जोड़,10 + 23 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",75,No,33,Yes,13,No,32,No
ek.n.ib.a.ddnc.bp2.4,जोड़,10 + 27 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",80,No,37,Yes,17,No,38,No
ek.n.ib.a.ddnc.bp2.5,जोड़,87 + 12 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",87,No,99,Yes,75,No,101,No
ek.n.ib.a.ddnc.bp3.1,जोड़,34 + 60 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",92,No,48,No,94,Yes,26,No
ek.n.ib.a.ddnc.bp3.2,जोड़,81 + 18 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",94,No,74,No,99,Yes,63,No
ek.n.ib.a.ddnc.bp3.3,जोड़,62 + 37 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",97,No,96,No,99,Yes,25,No
ek.n.ib.a.ddnc.bp3.4,जोड़,86 + 13 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",98,No,91,No,99,Yes,73,No
ek.n.ib.a.ddnc.bp3.5,जोड़,52 + 42 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",91,No,28,No,94,Yes,10,No
ek.n.ib.a.ddnc.bp4.1,जोड़,10 + 62 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",52,No,69,No,56,No,72,Yes
ek.n.ib.a.ddnc.bp4.2,जोड़,34 + 25 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",9,No,56,No,33,No,59,Yes
ek.n.ib.a.ddnc.bp4.3,जोड़,87 + 12 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",75,No,96,No,87,No,99,Yes
ek.n.ib.a.ddnc.bp4.4,जोड़,34 + 13 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",21,No,48,No,40,No,47,Yes
ek.n.ib.a.ddnc.bp4.5,जोड़,71 + 22 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",49,No,91,No,48,No,93,Yes
ek.n.ib.a.ddc.bp1.1,जोड़,43 + 18 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",61,Yes,51,No,511,No,68,No
ek.n.ib.a.ddc.bp1.2,जोड़,43 + 38 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",81,Yes,71,No,711,No,48,No
ek.n.ib.a.ddc.bp1.3,जोड़,22 + 58 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",80,Yes,70,No,710,No,55,No
ek.n.ib.a.ddc.bp1.4,जोड़,12 + 59 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",71,Yes,61,No,611,No,42,No
ek.n.ib.a.ddc.bp1.5,जोड़,74 + 17 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,MEDIUM,"addition, add, sum",91,Yes,81,No,811,No,71,No
ek.n.ib.a.ddc.bp2.1,जोड़,22 + 49 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",48,No,71,Yes,61,No,611,No
ek.n.ib.a.ddc.bp2.2,जोड़,28 + 37 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",51,No,65,Yes,55,No,515,No
ek.n.ib.a.ddc.bp2.3,जोड़,74 + 19 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",46,No,93,Yes,83,No,813,No
ek.n.ib.a.ddc.bp2.4,जोड़,42 + 29 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",55,No,71,Yes,61,No,611,No
ek.n.ib.a.ddc.bp2.5,जोड़,64 + 19 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",56,No,83,Yes,73,No,713,No
ek.n.ib.a.ddc.bp3.1,जोड़,59 + 35 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",814,No,87,No,94,Yes,84,No
ek.n.ib.a.ddc.bp3.2,जोड़,57 + 16 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",613,No,32,No,73,Yes,63,No
ek.n.ib.a.ddc.bp3.3,जोड़,33 + 39 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",612,No,75,No,72,Yes,62,No
ek.n.ib.a.ddc.bp3.4,जोड़,62 + 19 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",711,No,42,No,81,Yes,71,No
ek.n.ib.a.ddc.bp3.5,जोड़,65 + 28 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 2,DIFFICULT,"addition, add, sum",813,No,74,No,93,Yes,83,No
ek.n.ib.a.ddc.bp4.1,जोड़,72 + 19 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,DIFFICULT,"addition, add, sum",81,No,811,No,22,No,91,Yes
ek.n.ib.a.ddc.bp4.2,जोड़,26 + 16 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,DIFFICULT,"addition, add, sum",32,No,312,No,17,No,42,Yes
ek.n.ib.a.ddc.bp4.3,जोड़,41 + 29 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,DIFFICULT,"addition, add, sum",60,No,610,No,82,No,70,Yes
ek.n.ib.a.ddc.bp4.4,जोड़,51 + 39 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,DIFFICULT,"addition, add, sum",80,No,810,No,56,No,90,Yes
ek.n.ib.a.ddc.bp4.5,जोड़,18 + 67 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,DIFFICULT,"addition, add, sum",75,No,715,No,40,No,85,Yes
ek.n.ib.s.ssnb.bp1.1,घटाव,3 − 2 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,DIFFICULT,"subtraction, subtract, difference",1,Yes,5,No,3,No,7,No
ek.n.ib.s.ssnb.bp1.2,घटाव,9 − 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,DIFFICULT,"subtraction, subtract, difference",8,Yes,10,No,9,No,4,No
ek.n.ib.s.ssnb.bp1.3,घटाव,4 − 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,DIFFICULT,"subtraction, subtract, difference",3,Yes,5,No,4,No,8,No
ek.n.ib.s.ssnb.bp1.4,घटाव,6 − 4 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,DIFFICULT,"subtraction, subtract, difference",2,Yes,10,No,6,No,4,No
ek.n.ib.s.ssnb.bp1.5,घटाव,6 − 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,DIFFICULT,"subtraction, subtract, difference",5,Yes,7,No,6,No,2,No
ek.n.ib.s.ssnb.bp2.1,घटाव,4 − 3 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"subtraction, subtract, difference",9,No,1,Yes,7,No,4,No
ek.n.ib.s.ssnb.bp2.2,घटाव,4 − 3 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"subtraction, subtract, difference",6,No,1,Yes,7,No,4,No
ek.n.ib.s.ssnb.bp2.3,घटाव,9 − 7 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"subtraction, subtract, difference",4,No,2,Yes,16,No,9,No
ek.n.ib.s.ssnb.bp2.4,घटाव,4 − 1 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"subtraction, subtract, difference",1,No,3,Yes,5,No,4,No
ek.n.ib.s.ssnb.bp2.5,घटाव,6 − 4 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"subtraction, subtract, difference",5,No,2,Yes,10,No,6,No
ek.n.ib.s.ssnb.bp3.1,घटाव,7 − 6 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"subtraction, subtract, difference",7,No,6,No,1,Yes,13,No
ek.n.ib.s.ssnb.bp3.2,घटाव,9 − 6 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"subtraction, subtract, difference",9,No,2,No,3,Yes,15,No
ek.n.ib.s.ssnb.bp3.3,घटाव,8 − 3 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"subtraction, subtract, difference",8,No,1,No,5,Yes,11,No
ek.n.ib.s.ssnb.bp3.4,घटाव,6 − 5 = ?,,,,org.ekstep.mcq.t.ta,domain_49164,1,1,No,दोबारा कोशिश करें,Grade 1,EASY,"subtraction, subtract, difference",6,No,8,No,1,Yes,11,No
