identifier,objectType,tags,template,copyright,code,downloadUrl,description,language,variants,mimeType,source,posterImage,idealScreenSize,createdOn,appIcon,gradeLevel,artifactUrl,lastUpdatedOn,SYS_INTERNAL_LAST_UPDATED_ON,contentType,owner,lastUpdatedBy,visibility,os,portalOwner,mediaType,osId,ageGroup,lastPublishedBy,pkgVersion,versionKey,prevState,idealScreenDensity,s3Key,lastPublishedOn,size,lastSubmittedOn,createdBy,compatibilityLevel,domain,semanticVersion,name,publisher,status,rel:associatedTo,subject,medium,Language,collaborators,audience,creator,attributions,testCSVImportField,category,origin,languageCode,genre,theme,templateType,templateName,method,createdFor,organization,lastFlaggedOn,flaggedBy,keywords,keywordss,purpose,screenshots
org.ekstep.summarizer.plus.plus,Content,,,,org.ekstep.summarizer.plus.plus,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.summarizer.plus.plus/sher-kaa-saathii-haathii_1486632138036_org.ekstep.summarizer.plus.plus_1.0.ecar,शेर का साथी हाथी,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-09T09:21:36.754+0000,,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.summarizer.plus.plus/artifact/org.ekstep.summarizer.plus.plus_1486632123623.zip,2017-03-08T08:33:16.662+0000,2017-06-02T14:11:23.582+0000,Plugin,EkStep,,Default,All,,content,org.ekstep.quiz.app,5-6,,1.0,1496412683582,,hdpi,ecar_files/org.ekstep.summarizer.plus.plus/sher-kaa-saathii-haathii_1486632138036_org.ekstep.summarizer.plus.plus_1.0.ecar,2017-02-09T09:22:18.268+0000,93813.0,,,1,,1.0,शेर का साथी हाथी,,Live,,literacy,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.azhar.summarizer,Content,,,,org.ekstep.azhar.summarizer,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.azhar.summarizer/azhars-summarizer-plugin_1486632896439_org.ekstep.azhar.summarizer_1.0.ecar,Azhar's Summarizer Plugin,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-09T09:34:21.169+0000,,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.azhar.summarizer/artifact/org.ekstep.azhar.summarizer_1486632887531.zip,2017-03-08T08:33:17.516+0000,2017-06-02T14:11:24.067+0000,Plugin,EkStep,,Default,All,,content,org.ekstep.quiz.app,5-6,,1.0,1496412684067,,hdpi,ecar_files/org.ekstep.azhar.summarizer/azhars-summarizer-plugin_1486632896439_org.ekstep.azhar.summarizer_1.0.ecar,2017-02-09T09:34:56.560+0000,93729.0,,,1,,1.0,Azhar's Summarizer Plugin,,Live,,literacy,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.helloworld,Content,,,,org.ekstep.helloworld,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.helloworld/hello-world_1486633844797_org.ekstep.helloworld_1.0.ecar,Hello World,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-09T09:49:31.127+0000,,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.helloworld/artifact/org.ekstep.helloworld-2.0_1486633833314.zip,2017-03-08T08:33:18.584+0000,2017-06-02T14:11:24.308+0000,Plugin,EkStep,,Default,All,,content,org.ekstep.quiz.app,5-6,,1.0,1496412684308,,hdpi,ecar_files/org.ekstep.helloworld/hello-world_1486633844797_org.ekstep.helloworld_1.0.ecar,2017-02-09T09:50:44.984+0000,3500.0,,,1,,2.0,Hello World,,Live,,literacy,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.akshara-editor,Content,,,,org.ekstep.akshara-editor,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.akshara-editor/akshara-teaching_1492581411941_org.ekstep.akshara-editor_14.0.ecar,Learn akshara through games,Hindi,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.akshara-editor/akshara-teaching_1492581412031_org.ekstep.akshara-editor_14.0_spine.ecar"",""size"":5306.0}}",application/vnd.ekstep.plugin-archive,,,normal,2017-02-09T11:36:57.594+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/1455038952223a.png,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.akshara-editor/artifact/archive_200_1492581370_1492581385280.zip,2017-04-19T11:38:37.086+0000,2017-06-02T14:11:25.034+0000,Plugin,Devendra Singh,200,Default,All,343,content,org.ekstep.quiz.app,5-6,333,14.0,1496412685035,Review,hdpi,ecar_files/org.ekstep.akshara-editor/akshara-teaching_1492581411941_org.ekstep.akshara-editor_14.0.ecar,2017-04-19T05:56:51.940+0000,35762.0,2017-02-28T06:10:38.313+0000,343,1,literacy,1.0,Akshara Teaching  old,,Draft,LO39,,,,200::466::433,,,,,,,,,,,,,,,,,,,,
org.ekstep.division,Content,,,,org.ekstep.division,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.division/division-plugin_1487151193997_org.ekstep.division_13.0.ecar,"Division Plugin ",English,,application/vnd.ekstep.plugin-archive,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_10097064/artifact/570f2895870255176fde636039547c0f_1481705881103.jpeg,normal,2017-02-15T04:30:36.927+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.division/artifact/570f2895870255176fde636039547c0f_1481705881103.thumb.jpeg,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.division/artifact/archive_200_1487151112_1487151146135.zip,2017-03-08T08:33:54.646+0000,2017-06-02T14:11:27.889+0000,Plugin,,333,Default,All,343,content,org.ekstep.quiz.app,5-6,333,13.0,1496412687889,,hdpi,ecar_files/org.ekstep.division/division-plugin_1487151193997_org.ekstep.division_13.0.ecar,2017-02-15T09:33:14.132+0000,230086.0,2017-02-15T09:32:39.535+0000,343,1,numeracy,1.0,Division Plugin,,Live,C21,,,,200,,,,,,,,,,,,,,,,,,,,
org.ekstep.timer,Content,,,,org.ekstep.timer,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.timer/timer-plugin-new_1489137315456_org.ekstep.timer_5.0.ecar,Timer plugin,English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.timer/timer-plugin-new_1489137315691_org.ekstep.timer_5.0_spine.ecar"",""size"":10735.0}}",application/vnd.ekstep.plugin-archive,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_10097608/artifact/a1ef817cf3b63d2942bb4f1670eb99cc_1482993285188.jpeg,normal,2017-02-20T04:54:20.285+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.timer/artifact/a1ef817cf3b63d2942bb4f1670eb99cc_1482993285188.thumb.jpeg,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.timer/artifact/timer-1.0-2017-03-14-19-10_200_1489499439_1489499509867.zip,2017-03-14T13:51:56.483+0000,2017-06-02T14:11:32.870+0000,Plugin,,200,Default,All,200,content,org.ekstep.quiz.app,5-6,343,5.0,1496412692870,Review,hdpi,content/org.ekstep.timer/artifact/timer-1.0-2017-03-14-19-10_200_1489499439_1489499509867.zip,2017-03-10T09:15:15.456+0000,18082.0,2017-02-20T09:31:35.486+0000,200,1,numeracy,1.0,Timer Plugin New,,Review,C24,,,,,,,,1.0,,,,,,,,,,,,,,,,
org.ekstep.progressbar,Content,,,,org.ekstep.progressbar,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.progressbar/progressbar_1494309658543_org.ekstep.progressbar_12.0.ecar,Progressbar,English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.progressbar/progressbar_1494309658718_org.ekstep.progressbar_12.0_spine.ecar"",""size"":59312.0}}",application/vnd.ekstep.plugin-archive,,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_112213182919122944115/artifact/87197728c0f1dcc8187a2c42219e0311_1490867055582.jpeg,normal,2017-05-09T05:59:36.966+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.progressbar/artifact/87197728c0f1dcc8187a2c42219e0311_1490867055582.thumb.jpeg,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.progressbar/artifact/archive_200_1494309532_1494309577140.zip,2017-05-09T05:59:59.712+0000,2017-06-02T14:11:33.114+0000,Plugin,Swati,333,Default,All,436,content,org.ekstep.quiz.app,5-6,333,12.0,1496412693114,Review,hdpi,ecar_files/org.ekstep.progressbar/progressbar_1494309658543_org.ekstep.progressbar_12.0.ecar,2017-05-09T06:00:58.543+0000,73674.0,2017-02-20T11:52:44.825+0000,436,1,numeracy,1.0,Progressbar,,Live,C21,,,,200::466::433,,Swati Singh,,,,,,,,,,,,,,,,,,
org.ekstep.flashcard,Content,,,,org.ekstep.flashcard,,Write a short description of your lesson,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-21T09:31:31.241+0000,,Grade 1,,2017-03-08T08:35:11.272+0000,2017-06-02T14:11:33.600+0000,Plugin,,333,Default,All,333,content,org.ekstep.quiz.app,5-6,,,1496412693600,,hdpi,,,,,333,1,literacy,,Untitled lesson,,Draft,LO1,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.literacy.plugin.3227,Content,,,,org.ekstep.literacy.plugin.3227,,Pluugin test,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-23T13:14:40.567+0000,,Grade 1,,2017-03-08T08:35:46.618+0000,2017-06-02T14:11:35.178+0000,Plugin,,177,Default,All,177,content,org.ekstep.quiz.app,5-6,,,1496412695178,,hdpi,,,,,177,1,literacy,,Plugin test,,Draft,LO16,,,,,,,,,,,,,,,,,,,,,,,,
do_1121911542303129601148,Content,,,,org.ekstep.literacy.story.2980,,testing,Hindi,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-27T06:46:46.630+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_112183344918650880169/artifact/c12fe4ab2d3e42ff71f27256263135bc_1487224721545.jpeg,Grade 1,,2017-03-08T08:36:02.264+0000,2017-06-02T14:11:35.907+0000,Plugin,,385,Default,All,385,content,org.ekstep.quiz.app,5-6,,,1496412695907,,hdpi,,,,,385,1,literacy,,Testing,,Draft,LO16,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.literacy.plugin.3263,Content,,,,org.ekstep.literacy.plugin.3263,,debug plugin,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-28T06:43:31.339+0000,,Grade 1,,2017-03-08T08:36:10.884+0000,2017-06-02T14:11:36.151+0000,Plugin,,200,Default,All,200,content,org.ekstep.quiz.app,5-6,,,1496412696151,,hdpi,,,,,200,1,literacy,,Debug Pluign,,Draft,LO16,,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.test,Content,,,,org.ekstep.test,,Test Content plugin,English,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-28T08:35:36.247+0000,,Grade 1,,2017-03-08T08:36:11.659+0000,2017-06-02T14:11:36.411+0000,Plugin,,385,Default,All,385,content,org.ekstep.quiz.app,5-6,,,1496412696411,,hdpi,,,,,385,1,numeracy,,Test Content plugin,,Draft,"C24,C25",,,,,,,,,,,,,,,,,,,,,,,,
org.ekstep.example.plugin.11,Content,,,,org.ekstep.example.plugin.11,,"Sed id est, illum, sed rerum maiores aute voluptate nihil dolorem soluta aliqua. Beatae.",Tamil,,application/vnd.ekstep.plugin-archive,,,normal,2017-02-28T10:42:32.454+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/do_1121919474514739201194/artifact/2a3d3c759c1db240019827fca42e4152_1488274835445.jpeg,Grade 1,,2017-03-08T08:36:16.186+0000,2017-06-02T14:11:36.659+0000,Plugin,,80,Default,All,80,content,org.ekstep.quiz.app,5-6,,,1496412696659,,hdpi,,,,,80,1,literacy,,Melvin Hobbs,,Draft,"LO16,LO17",,,,,,,,,core::learning::literacy::math::science::time::wordnet::game::mcq::mtf::ftb,,,,,,,,,,,,,,,
org.ekstep.akshara-editor.fork,Content,testumesh,,,org.ekstep.akshara-editor.fork,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.akshara-editor/akshara-teaching_1488262324063_org.ekstep.akshara-editor_6.0.ecar,Learn akshara through games,Hindi,,application/vnd.ekstep.plugin-archive,,,normal,2017-03-01T11:00:00.355+0000,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/1455038952223a.png,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.akshara-editor/artifact/akshara_343_1488262178_1488262229771.zip,2017-03-08T08:36:24.364+0000,2017-06-02T14:11:36.900+0000,Plugin,,181,Default,All,181,content,org.ekstep.quiz.app,5-6,,,1496412696900,,hdpi,,,,,181,1,literacy,,Copied From Akshara Teaching - testing,,Draft,LO39,,,,,,,,,,org.ekstep.akshara-editor,hi,,,,,,,,,,,,,
org.ekstep.flashcarddev,Content,,,,org.ekstep.flashcarddev,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.flashcarddev/flashcard-dev_1488520453661_org.ekstep.flashcarddev_1.0.ecar,flashcard,English,"{""spine"":{""ecarUrl"":""https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/ecar_files/org.ekstep.flashcarddev/flashcard-dev_1488520453878_org.ekstep.flashcarddev_1.0_spine.ecar"",""size"":803.0}}",application/vnd.ekstep.plugin-archive,,,normal,2017-03-03T05:49:49.110+0000,,Grade 1,https://ekstep-public-dev.s3-ap-south-1.amazonaws.com/content/org.ekstep.flashcarddev/artifact/archive_200_1488520146_1488520189229.zip,2017-03-03T05:54:14.361+0000,2017-06-02T14:11:39.695+0000,Plugin,,343,Default,All,200,content,org.ekstep.quiz.app,5-6,343,1.0,1496412699695,Review,hdpi,ecar_files/org.ekstep.flashcarddev/flashcard-dev_1488520453661_org.ekstep.flashcarddev_1.0.ecar,2017-03-03T05:54:13.972+0000,9433.0,,200,1,literacy,1.0,Flashcard dev,,Live,LO17,,,,,,,,,,,,,,,,,,,,,,,,
